v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AF320,t,"Árido machaqueo 12/18 D.A.<20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF330,t,"Árido machaqueo 18/25 D.A.<20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF340,t,"Árido mach.2/6 D.A.<25 ex.polvo","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF350,t,"Árido mach.6/12 D.A.<25 ex.polvo","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF360,t,"Árido mach.12/18 D.A.<25 ex.polv","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF370,t,"Árido mach.18/25 D.A.<25 ex.polv","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF399,t,"Gravilla machaqueo 5/2 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF400,t,"Gravilla machaqueo 6/3 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF410,t,"Gravilla machaqueo 10/5 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF420,t,"Gravilla machaqueo 13/7 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF430,t,"Gravilla machaqueo 20/10 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF440,t,"Gravilla machaqueo 25/13 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF500,t,"Material p/suelo cemento IP<15","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF510,t,"Material p/suelo cemento IP<6","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF520,t,"Material p/suelo cemento IP=0","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF600,t,"Arido mach. 0/6 blanco D.A. <20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF700,t,"Escoria granulada de alto horno","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF800,t,"Filler calizo  M.B.C. factoría","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF805,t,"Filler calizo  M.B.C. planta asf","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AG010,m3,"Garbancillo 4/20 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG020,t,"Garbancillo 4/20 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG030,m3,"Garbancillo especial 6/12 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG040,t,"Garbancillo especial 6/12 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG045,m3,"Garbancilo selecc.18/20 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG046,t,"Garbancilo selecc.18/20 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG050,m3,"Gravilla 20/40 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG060,t,"Gravilla 20/40 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG065,m3,"Gravilla selecc.de río 20/40 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG066,t,"Gravilla selecc.de río 20/40 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG070,m3,"Mezcla todo uno (revoltón)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG080,t,"Mezcla todo uno (revoltón)","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
